Part	Value	Attributes	Package	Description	Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code	XREF
BAT	CR1220		CR1220-THM	CR1216/CR1220/CR1225 12mm 3V lithium coin cell	3001	Keystone Electronics	ME	534-3001	HOLDER BATTERY COIN 12MM DIA THM	*	REF14
BATTERY	CH23-1220LF		CH23-1220LF	Battary Holder, DIP, 12mm	CR1220	FDK America	ME	658-CR1220	BATTERY LITHIUM 3V COIN 12.5MM	*	REF15
C1	0.1uF		C025-025X050	CAPACITOR, American symbol	21RZ310-RC	Xicon	ME	21RZ310-RC	Multilayer Ceramic Capacitors MLCC - Leaded .1uF 50volts Z5U 20% 2.5mm L/S	*	REF5
C2	0.1uF		C025-025X050	CAPACITOR, American symbol	21RZ310-RC	Xicon	ME	21RZ310-RC	Multilayer Ceramic Capacitors MLCC - Leaded .1uF 50volts Z5U 20% 2.5mm L/S	*	REF5
C3	0.1uF		C025-025X050	CAPACITOR, American symbol	21RZ310-RC	Xicon	ME	21RZ310-RC	Multilayer Ceramic Capacitors MLCC - Leaded .1uF 50volts Z5U 20% 2.5mm L/S	*	REF5
C4	0.1uF		C025-025X050	CAPACITOR, American symbol	21RZ310-RC	Xicon	ME	21RZ310-RC	Multilayer Ceramic Capacitors MLCC - Leaded .1uF 50volts Z5U 20% 2.5mm L/S	*	REF5
C5	22pF		C025-025X050	CAPACITOR, American symbol	K220J15C0GF5TL2	Vishay / BC Components	ME	594-K220J15C0GF5TL2	Multilayer Ceramic Capacitors MLCC - Leaded 22pF 50volts 5% C0G 2.5mm LS	*	REF17
C6	22pF		C025-025X050	CAPACITOR, American symbol	K220J15C0GF5TL2	Vishay / BC Components	ME	594-K220J15C0GF5TL2	Multilayer Ceramic Capacitors MLCC - Leaded 22pF 50volts 5% C0G 2.5mm LS	*	REF17
C7	0.1uF		C025-025X050	CAPACITOR, American symbol	21RZ310-RC	Xicon	ME	21RZ310-RC	Multilayer Ceramic Capacitors MLCC - Leaded .1uF 50volts Z5U 20% 2.5mm L/S	*	REF5
C8	22uF/25V		E2,5-6	POLARIZED CAPACITOR, American symbol	EEU-FR1H220B	Panasonic	ME	667-EEU-FR1H220B	CAP ALUM 22UF 20% 50V RADIAL	*	REF19
C9	50uF/6V		E2,5-6	POLARIZED CAPACITOR, American symbol	ECA-1CM470I	Panasonic	ME	667-ECA-1CM470I	CAP ALUM 47UF 20% 16V RADIAL	*	REF20
C10	50uF/6V		E2,5-6	POLARIZED CAPACITOR, American symbol	ECA-1CM470I	Panasonic	ME	667-ECA-1CM470I	CAP ALUM 47UF 20% 16V RADIAL	*	REF20
D1	1N4001		DO41-10	DIODE	1N4001-TP	Micro Commercial Co.	ME	833-1N4001-TP	DIODE GEN PURP 50V 1A DO41	*	REF21
D2	RED		LED3MM	LED	WP7113SRD/D	Kingbright	ME	604-WP7113SRD/D	Standard LEDs - Through Hole RED DIFFUSED	*	REF8
D3	YELLOW		LED3MM	LED	WP7113SYD	Kingbright	ME	604-WP7113SYD	Standard LEDs - Through Hole YELLOW DIFFUSED	*	REF16
IC1	LM1086CT-5.0		78XXS	VOLTAGE REGULATOR	LM1086CT-5.0/NOPB	Texas Instruments	ME	926-LM1086CT50NOPB	IC REG LINEAR 5.0V 1.5A TO220-3	*	REF12
